PRIME-B360M-A,Intel,Asus,B360,LGA 1151-2,14950
H370M-DS3H,Intel,Gigabyte,H370,LGA 1151-2,15500
TUF-B360M-PLUS-GAMING,Intel,Asus,B360,LGA 1151-2,15950
B360M-AORUS-GAMING-3,Intel,Gigabyte,B360,LGA 1151-2,16200
H370-HD3,Intel,Gigabyte,H370,LGA 1151-2,16900
H370M-D3H,Intel,Gigabyte,H370,LGA 1151-2,17500
TUF-B360-PRO-GAMING,Intel,Asus,B360,LGA 1151-2,18000
TUF-H370-PRO-GAMING,Intel,Asus,H370,LGA 1151-2,18600
PRIME-H370-PLUS,Intel,Asus,H370,LGA 1151-2,18700
B360-AORUS-GAMING-3-WIFI,Intel,Gigabyte,B360,LGA 1151-2,19000
TUF-B360-PRO-GAMING--WI-FI-,Intel,Asus,B360,LGA 1151-2,19500
Z370-HD3,Intel,Gigabyte,Z370,LGA 1151-2,20200
TUF-H370-PRO-GAMING--WI-FI-,Intel,Asus,H370,LGA 1151-2,21500
ROG-STRIX-H370-F-GAMING,Intel,Asus,H370,LGA 1151-2,21600
Z390-GAMING-X,Intel,Gigabyte,Z390,LGA 1151-2,22000
PRIME-Z370-P-II,Intel,Asus,Z370,LGA 1151-2,22500
Z390-GAMING-SLI,Intel,Gigabyte,Z390,LGA 1151-2,24200
TUF-Z370-PLUS-GAMING-II,Intel,Asus,Z370,LGA 1151-2,24800
PRIME-Z390-P,Intel,Asus,Z390,LGA 1151-2,25000
Z390-AORUS-ELITE,Intel,Gigabyte,Z390,LGA 1151-2,27200
TUF-Z390-PLUS-GAMING,Intel,Asus,Z390,LGA 1151-2,27600
PRIME-X470-PRO,AMD,Asus,X470,AM4,29500
ROG-STRIX-Z390-H-GAMING,Intel,Asus,Z390,LGA 1151-2,29800
Z390-AORUS-PRO-WIFI,Intel,Gigabyte,Z390,LGA 1151-2,31500
ROG-STRIX-X470-F-GAMING,AMD,Asus,X470,AM4,32700
Z370-AORUS-GAMING-7,Intel,Gigabyte,Z370,LGA 1151-2,35300
ROG-STRIX-Z390-E-GAMING,Intel,Asus,Z390,LGA 1151-2,35500
Z390-AORUS-ULTRA,Intel,Giagbyte,Z390,LGA 1151-2,36400
Z390-AORUS-MASTER,Intel,Gigabyte,Z390,LGA 1151-2,42500
ROG-MAXIMUS-XI-HERO,Intel,ASUS,Z390,LGA 1151-2,42500
ROG-MAXIMUS-XI-HERO--WI-FI-,Intel,Asus,Z390,LGA 1151-2,45500
ROG-MAXIMUS-XI-CODE,Intel,Asus,Z390,LGA 1151-2,49500
